Titre,Ingrédient_1,Ingrédient_2,Ingrédient_3,Ingrédient_4,Ingrédient_5,Ingrédient_6,Ingrédient_7,Ingrédient_8,Ingrédient_9,Ingrédient_10,Ingrédient_11,Ingrédient_12,Ingrédient_13,Ingrédient_14
Aubergine rôtie aux épices & muhammara maison avec un beurre épicé & de la harissa,Aubergine,Poivron,Mélange d'épices du Moyen-Orient,Pain pita,Harissa,Citron,Persil,Noix de cajou concassées,Huile de sésame,Graines de sésame,Beurre de cacahuètes,,,
Bánh mì ou sandwich vietnamien au poulet avec des légumes marinés & une mayo épicée,Huile de sésame,Demi-baguette de tradition,Concombre,Mayonnaise,Gousse d'ail,Sauce au chili sucrée et épicée,Coriandre,,,,,,,
"Bibimbap coréen tofu, miso & crudités avec de la sriracha & du sésame",Riz,Gousse d'ail,Sauce sriracha,Miso blanc,Riz,Carotte,Concombre,Champignons de Paris,Piri-piri,Tofu,Huile de sésame,Sauce asiatique sucrée,Graines de sésame,
"Bibimbap végétarien au tofu avec du riz, des légumes & un œuf au plat",Tofu nature BIO,Gingembre frais,Gousse d'ail,Carotte,Concombre,Riz,Piri-piri,Miso blanc,Graines de sésame,Huile de sésame,Sauce asiatique sucrée,,,
"Bò Bún végétarien au tofu sauté avec du concombre, de la carotte & des cacahuètes",Gousse d'ail,Échalote,Tofu,Citronnelle,Nouilles plates de riz,Sauce asiatique sucrée,Carotte,Oignon jaune,Concombre,Coriandre et menthe,Cacahuètes non salées,Huile de sésame,,
Bowl d'automne aux falafels saveur coriandre avec de la patate douce & sauce yaourt-menthe,Patate douce,Yaourt à la grecque,Falafels et sauce yaourt-menthe,Menthe,Concombre,Graines de courge,,,,,,,,
Bowl de boulettes veggie thaï avec du portobello & une sauce chili,Gousse d'ail,Oignon,Coriandre,Carotte,Portobello,Riz,Boulette thaï,Sauce soja,Graines de sésame,,,,,
Bowl de boulgour aux légumes rôtis avec des tomates séchées & de la menthe,Patates douces,Chou-fleur,Oignon rouge,Carotte,Cumin en poudre,Boulgour,Tomates semi-séchées,Raisins secs Sultanines,Graines de courge,Menthe,Salade,,,
"Butternut grillé, labneh & beurre noisette au curcuma",Courge butternut,Gousse d'ail,Coriandre moulue,Gingembre frais,Citron,Curcuma en poudre,Gousses d'ail,Lait de coco,Pistaches décortiquées,,,,,
Butternut rôti au zaatar & chèvre frais avec une sauce herbacée & des pickles d’oignon,Gousse d'ail,Oignon rouge,Courge butternut,Zaatar,Citron jaune,Piment,Fromage de chèvre frais,Persil plat et menthe,Yaourt à la grecque,Graines de sésame,Salade,,,
Canette sauce échalote & carottes Vichy avec des graines persillées,Gousse d'ail,Carotte,Échalote,Persil,Graines,Filet de canette,,,,,,,,
Chaussons au bœuf façon empanadas argentines avec une salade de tomates au persil,Oignon rouge,Gousse d'ail,Tomate,Persil plat,Salade,Viande hachée de bœuf,Origan séché,Cumin en poudre,Concentré de tomates,Pâte feuilletée,,,,
Cordon bleu maison & purée au thym avec une salade de tomate à l’échalote,Tranches de jambon blanc,Chapelure panko,Pommes de terre à chair farineuse,Tomate,Échalote,Thym séché,Emmental râpé,,,,,,,
Croque Tex-Mex veggie au maïs avec du cheddar fondu & une salade,Maïs en conserve,Poivrons grillés,Cheddar râpé,Échalote,Épices mexicaines,Pain burger aux graines,Salade,,,,,,,
Curry d'épinards & riz au curcuma avec des noix de cajou & un œuf,Gousse d'ail,Oignon jaune,Gingembre frais,Épinards,Curcuma en poudre,Riz au jasmin,Noix de cajou grillées et non salées,Œuf,Lait de coco,Sauce soja,Coriandre,Concombre,Tomate,Piment
Curry vert veggie de broccolini à la thaï avec du lait de coco & de la coriandre,Riz,Oignon,Gousse d'ail,Gingembre frais,Pak choï,Émincés de bœuf,Sauce soja,Graines de sésame,,,,,,
"Dahl de lentilles, patate douce & épinards avec un naan à l'huile de coriandre",Oignon jaune,Gingembre frais,Patates douces,Curry en poudre,Concentré de tomates,Lentilles corail,Lait de coco,Coriandre,Naans,Citron vert,Épinards,,,
Escalope de dinde & sauce BBQ avec des haricots verts & des pommes de terre,Pommes de terre,Mélange d'épices pour BBQ,Escalope de dinde,Haricots verts,Gousse d'ail,Ketchup,,,,,,,,
Filet de merlu & beurre nantais à l'aneth avec une purée & une tombée d'épinards,Filet de merlu,Gousse d'ail,Échalote,Aneth et ciboulette,Filet de merlu avec peau,Pommes de terre,Crème épaisse,Épinards,,,,,,
Fish & chips de lieu noir avec une sauce ravigote & une salade composée,Pommes de terre,Carotte,Concombre,Chapelure panko,Filet de lieu noir,Salade,Sauce ravigote,,,,,,,
"Fusilli complets pesto verde, épinards & burrata avec des pignons de pin",Gousse d'ail,Oignon,Citron,Épinards,Fusilli complets,Pesto vert alla genovese,Burrata,Pignons de pin,,,,,,
Galette d'épeautre & sauce forestière avec du riz & du poireau,Galettes d'épeautre,Gomasio aux herbes de Provence,Origan séché,Champignons de Paris,Poireau,Riz long grain,Crème liquide,,,,,,,
Green lasagne poireaux-épinards avec de l'emmental & une sauce crème,Poireau,Oignon,Gousse d'ail,Origan,Épinards,Crème liquide,Noix de muscade,Emmental râpé,Feuilles de lasagne fraîches,,,,,
Gyudon : bowl de bœuf à la japonaise avec du pak choï & des graines de sésame,Riz,Oignon,Gousse d'ail,Gingembre frais,Pak choï,Émincés de bœuf,Sauce soja,Graines de sésame,,,,,,
"Hachis argentin façon pastel de papa avec du cheddar, du paprika & du poivron",Pommes de terre,Filet de poulet,Oignon,Gousse d'ail,Concentré de tomates,Paprika,Cheddar râpé,Feuille de laurier,Salade,,,,,
Hachis parmentier de bœuf & potimarron avec une salade vinaigrée,Potimarron,Oignon,Gousse d'ail,Pommes de terre,Viande hachée au bœuf,Concentré de tomates,Sauge,Salade,Vinaigre,Moutarde,Huile,,,
"La Fraîche : poulet & sauce satay, garnie de nouilles & coriandre",Gousse d'ail,Gingembre frais,Piment,Carotte,Concombre,Blanc de poulet,Nouilles de blé,Huile de sésame,Sauce soja,Beurre de cacahuètes,,,,
Lieu à la meunière & tombée d'épinards avec une purée de carottes & lentilles au paprika,Carotte,Oignon jaune,Gousse d'ail,Citron jaune,Lentilles corail,Filet de lieu noir,Épinards,Paprika fumé en poudre,Amandes effilées,,,,,
Lieu pané à la coco & mayo-chipotle avec une salsa de maïs-concombre,Échalote,Concombre,Citron,Maïs en conserve,Coriandre,Sauce Chipotle au piment,Chapelure panko,Noix de coco râpée,Filet de lieu noir,,,,,
Linguine & pesto d’épinards maison avec des tomates cerises & du grana padano,Linguine,Citron jaune,Noix de cajou concassées,Tomates cerises rouges,Copeaux de grana padano,Basilic,Roquette,,,,,,,
Mafé révisité au poulet & carotte avec des cacahuètes& du gingembre,Riz,Gimgembre,Carotte,Filet de poulet,Beurre de cacahuètes,Coriandre et menthe,Cacahuètes non salées,Concentré de tomates,GOusse d'ail,Oignon,Mélange d'épices africaines,,,
"Moujadara libanaise : oignons grillés & lentilles avec de la grenade, du riz & des herbes",Oignon,Gousse d'ail,Lentilles vertes,Riz,Mélange d'épices du Moyen-Orient,Grenade,Citron,Persil plat et menthe,Fromage à la grecque,,,,,
"Nouilles de riz & poulet façon curry avec du pak choï, de la coriandre & des cacahuètes",Échalote,Gousse d'ail,Gingembre frais,Blanc de poulet,Nouilles plates de riz,Curry en poudre,Pak choï,Coriandre,Lait de coco,Cacahuètes non salées,,,,
One pot crevettes & orzo à la toscane avec des épinards & des tomates séchées,Crevettes,Orzo,Épinards,Tomates séchées,Copeaux de grana padano,Épices italiennes,Oignon,Gousse d'ail,,,,,,
Orzo al forna & feta avec de l'aubergine & de la tomate,Aubergine,Tomate,Orzo,Feta,Fromage italien râté,Pousses d'épinard,Concentré de tomates,Gousse d'ail,Oignon jaune,Épices italiennes,,,,
"Orzo au saumon, sauce ail, citron & persil avec de la crème & du poivron",Gousse d'ail,Poivron,Citron,Filet de saumon avec peau,Orzo,Épices italiennes,Crème épaisse,Persil,,,,,,
Orzo façon risotto aux épinards & poireau avec du mascarpone & des graines de courge,Gousse d'ail,Oignon jaune,Poireau,Épinards,Graines de courge,Orzo,Mascarpone,Noix de muscade,Pecorino râpé,Roquette,,,,
"Papas con chorizo avec de l'avocat, de la coriandre & un œuf",Pommes de terre,Oignon,Gousse d'ail,Chorizo tranché,Concentré de tomates,Paprika fumé en poudre,Avocat,Tomate,Coriandre,Cheddar râpé,Œuf,,,
Pavé de bœuf de race & son élixir de figues avec du couscous perlé,Gousse d'ail,Échalote,Mélange d'épices du Moyen-Orient,Pavé de bœuf de race,Pistaches décortiquées,Lait de coco,Persil,Couscous perlé,Figues,,,,,
Poulet & sauce blanche à l'aneth avec une purée de lentilles au paprika fumé,Carotte,Oignon,Gousse d'ail,Lentilles corail,Yaourt à la grecque,Aneth et ciboulette,Filet de poulet,Paprika fumé en poudre,,,,,,
Poulet thaï au curry vert & lait de coco avec de la coriandre & du citron,Blanc de poulet,Gousse d'ail,Gingembre frais,Coriandre,Poivron,Citron,Lait de coco,Curry vert,Sauce poisson,Cacahuètes non salées,,,,
Rigatoni courgette & pesto de basilic avec du parmigiano & des noisettes,Gousse d'ail,Échalote,Rigatoni,Parmigiano Reggiano AOP,Crème de basilic,Noisettes,Persil,Salade,,,,,,
"Rigatoni, endives poêlées & tomme avec des champignons à la crème",Gousse d'ail,Oignon jaune,Endive,Champignons de Paris,Rigatoni,Crème liquide,Tomme du Jura râpée,Persil frisé,,,,,,
Risotto aux marrons & coppa di Parma,Poireau,Gousse d'ail,Riz pour risotto,Marrons,Thym séché,Coppa di Parma,Pecorino râpé,,,,,,,
Risotto d'orzo aux champignons avec du fromage frais aux herbes,Orzo,Champignons de Paris,Fromage frais aux herbes,Oignon nouveau,Échalotte,Gousse d'ail,Graines de courge,Origan séché,,,,,,
Risotto tomate & coco avec du persil & des graines,Gousse d'ail,Oignon,Tomates cerises en conserve,Riz pour risotto,Graines de courge,Pecorino râpé,Persil,Salade,Lait de coco,,,,,
Risotto vert de couscous perlé avec de la mozzarella & des amandes torréfiées,Oignon,Gousse d'ail,Couscous perlé,Amandes effilées,Épinards,Pesto vert alla genovese,Fromage râpé à l'italienne,Mozzarella,,,,,,
"Riz sauté aux petits pois & carotte avec un œuf, de la coriandre & des champignons",Gousse d'ail,Oignon nouveau,Carotte,Coriandre,Riz basmati,Champignons de Paris,Œuf,Huile de sésame,Sauce soja,Graines de sésame,Petits pois,,,
"Salade d'orzo & crevettes au curry avec des crudités, de la menthe & des cacahuètes",Échalote,Menthe,Aneth et ciboulette,Noix de muscade,Crème liquide,Filet de saumon avec peau,Orzo,Pommes de terre,Carotte,Concombre,Paprika en poudre,Chapelure panko,Filet de lieu noir,Sauce ravigote
Salade de butternut rôti au zaatar & chèvre frais avec une sauce herbacée & des pickles d’oignon,Gousse d'ail,Oignon rouge,Courge butternut,Zaatar,Citron jaune,Piment,Fromage de chèvre frais,Persil plat et menthe,Yaourt à la grecque,Graines de sésame,Salade,,,
"Salade de butternut rôti, fromage & grenade avec des lentilles & des carottes râpées",Lentilles vertes,Oignon,Gousse d'ail,Courge butternut,Mélange d'épices africaines,Coriandre et menthe,Noix de cajou concassées,Fromage à la grecque,Grenade,,,,,
Salade de couscous perlé & halloumi avec une vinaigrette à la harissa & au zaatar,Concombre,Tomates séchées,Oignon rouge,Persil,Citron jaune,Halloumi,Couscous perlé,Amandes éffilées,Zaatar,Cumin en poudre,Harissa,,,
"Salade de couscous perlé, avocat & grenade avec du fromage frais & des graines de courge",Couscous perlé,Oignon,Gousse d'ail,Origan séché,Avocat,Grenade,Persil plat et menthe,Graines de courge,Fromage frais,Salade,,,,
"Salade de lentilles & boulgour à la turque avec de l'avocat, du chèvre & des amandes",Boulgour,Amandes effilées,Tomate,Fromage de chèvre frais,Avocat,Sucrine,Coriandre et menthe,Zaatar,,,,,,
Salade de nouilles & canette à l'asiatique avec un mélange chou-carotte & des cacahuètes,Gingembre frais,Gousse d'ail,Filet de canette,Citron,Nouilles de blé,Sauce soja,Huile de sésame,Coriandre et menthe,Cacahuètes non salées,,,,,
Salade de pois chiches grillés à l'orientale avec une pita au zaatar & une sauce tahini,Pois chiches,Citron jaune,Concombre,Persil plat,Pains pita,Zaatar,Tomates cerises rouges,Sauce yaourt-tahini,,,,,,
"Salade de poulet sucrée-salée avec des graines, des cranberries & des croûtons",Petit pain traditionnel,Dés de blanc de poulet,Sucrine,Carotte,Citron jaune,Mayonnaise,Noix de pécan concassées,Mélange cranberries et graines,,,,,,
"Salade de quinoa, courge rôtie & tahini avec de l'aneth & du fromage à la grecque",Gousse d'ail,Courge butternut,Cumin en poudre,Quinoa,Oignon,Épices italiennes,Noisettes,Aneth et persil plat,Olives Kalamata dénoyautées,Citron,Fromage à la grecque,Sauce tahini,,
Salade fraîche de nouilles & vinaigrette soja avec des cacahuètes & du sésame,Coriandre,Tomates cerises rouges,Citron,Broccolini,Cacahuètes non salées,Nouilles de blé,Sauce soja,Huile de sésame,,,,,,
"Salade grenailles, asperges & grana padano avec un œuf mollet & des pousses d'épinards",Grenailles,Gousse d'ail,Échalote,Origan séché,Asperges vertes,Pousses d'épinards et radicchio,Copeaux de grana padano,,,,,,,
Salade orientale de légumes rôtis avec du boulgour & de la feta,Carotte,Chou-fleur,Oignon rouge,Patates douces,Cumin en poudre,Boulgour,Tomates cerises rouges,Graines de courge,Persil plat et menthe,Feta,Salade,,,
"Salade thaï aux émincés végétariens avec des cacahuètes, du gomasio & du citron",Gousse d'ail,Gingembre frais,Gomasio,Émincés végétariens,Nouilles udon fraîches,Sauce asiatique sucrée,Sauce soja,Citron,Coriandre,Cacahuètes non salées,Oignon,Tomate,Piment,Concombre
Saumon au zaatar & couscous perlé avec des épinards & une sauce tahini,Gousse d'ail,Oignon,Filet de saumon avec peau,Couscous perlé,Zaatar,Épinards,Sauce tahini,,,,,,,
"Saumon, fondue de poireau & crème d'aneth avec des pommes de terre rôties & de la ciboulette",Poireau,Pommes de terre,Gousse d'ail,Crème liquide,Filet de saumon avec peau,Aneth et ciboulette,,,,,,,,
"Tagliatelle, crème de pecorino & noix avec des tomates séchées & de la roquette",Gousse d'ail,Ciboulette,Tomates semi-séchées,Tagliatelle fraîches,Crème fraîche,Pecorino râpé,Noix concassées,Roquette,,,,,,
Tarte rustique à l'ail des ours avec du poireau fondant & de la feta,Poireau,AIl des ours,Crème épaisse,Feta,Pâte à tarte,Salade,,,,,,,,
Tenders de poulet BBQ & potatoes avec une salade de carotte & tomate,Pommes de terre,Gousse d'ail,Mélange d'épices pour BBQ,Tomate,Mayonnaise,Chapelure panko,Filet de poulet,Salade,,,,,,
Tikka bowl express : dinde & couscous avec un raita menthe-concombre,Poulet ou Dinde,Épices mexicaines,Yaourt à la grecque,Concombre,Menthe,Couscous,,,,,,,,
Wok de nouilles sautées sauce cacahuètes avec du pak choï & des champignons,Pak choï,Oignon nouveau,Gousse d'ail,Carotte,Champignons de Paris,Piri-piri,Nouilles de blé,Huile de sésame,Sauce asiatique sucrée,Graines de sésame,Beurre de cacahuètes,,,
Wraps au blé complet de courge & pois chiches garni de tzatziki & fromage frais,Potimarron,Pois chiches,Épices mexicaines,Persil plat et menthe,Concombre,Gousse d'ail,Yaourt à la grecque,Tortillas au blé complet,,,,,,
Wraps aux pois chiches grillés & feta avec une sauce labneh-mangue & du persil,Pois chiches,Concombre,Tortillas,Persil,Chutney de mangue,Labneh,Feta,Tomates séchées,Mélange d'épice du Moyen-Orient,,,,,
